,bufcap,bandwidth,rtt,trial,cc,retx_
182,10000,10,150,2,bbr,
183,10000,10,150,2,cubic,
184,10000,10,150,3,bbr,
185,10000,10,150,3,cubic,
186,10000,10,150,4,bbr,
187,10000,10,150,4,cubic,
188,10000,10,150,5,bbr,
189,10000,10,150,5,cubic,
190,10000,10,200,1,bbr,444.0
191,10000,10,200,1,cubic,
192,10000,10,200,2,bbr,1019.0
193,10000,10,200,2,cubic,
194,10000,10,200,3,bbr,3011.0
195,10000,10,200,3,cubic,
196,10000,10,200,4,bbr,748.0
197,10000,10,200,4,cubic,
198,10000,10,200,5,bbr,886.0
199,10000,10,200,5,cubic,
200,10000,10,25,1,bbr,
201,10000,10,25,1,cubic,
202,10000,10,25,2,bbr,
203,10000,10,25,2,cubic,
204,10000,10,25,3,bbr,
205,10000,10,25,3,cubic,
206,10000,10,25,4,bbr,1214.0
207,10000,10,25,4,cubic,
208,10000,10,25,5,bbr,
209,10000,10,25,5,cubic,
210,10000,10,50,1,bbr,
211,10000,10,50,1,cubic,
212,10000,10,50,2,bbr,
213,10000,10,50,2,cubic,147.0
214,10000,10,50,3,bbr,
215,10000,10,50,3,cubic,
216,10000,10,50,4,bbr,
217,10000,10,50,4,cubic,
218,10000,10,50,5,bbr,
219,10000,10,50,5,cubic,
220,10000,10,5,1,bbr,110.0
221,10000,10,5,1,cubic,
222,10000,10,5,2,bbr,154.0
223,10000,10,5,2,cubic,
224,10000,10,5,3,bbr,196.0
225,10000,10,5,3,cubic,
226,10000,10,5,4,bbr,114.0
227,10000,10,5,4,cubic,
228,10000,10,5,5,bbr,141.0
229,10000,10,5,5,cubic,
230,10000,10,75,1,bbr,
231,10000,10,75,1,cubic,
232,10000,10,75,2,bbr,
233,10000,10,75,2,cubic,
234,10000,10,75,3,bbr,
235,10000,10,75,3,cubic,157.0
236,10000,10,75,4,bbr,
237,10000,10,75,4,cubic,
238,10000,10,75,5,bbr,
239,10000,10,75,5,cubic,849.0
240,10000,20,100,1,bbr,
241,10000,20,100,1,cubic,
242,10000,20,100,2,bbr,
243,10000,20,100,2,cubic,
244,10000,20,100,3,bbr,
245,10000,20,100,3,cubic,
246,10000,20,100,4,bbr,
247,10000,20,100,4,cubic,
248,10000,20,100,5,bbr,
249,10000,20,100,5,cubic,398.0
250,10000,20,10,1,bbr,
251,10000,20,10,1,cubic,
252,10000,20,10,2,bbr,
253,10000,20,10,2,cubic,
254,10000,20,10,3,bbr,
255,10000,20,10,3,cubic,
256,10000,20,10,4,bbr,
257,10000,20,10,4,cubic,
258,10000,20,10,5,bbr,
259,10000,20,10,5,cubic,
260,10000,20,150,1,bbr,
261,10000,20,150,1,cubic,
262,10000,20,150,2,bbr,
263,10000,20,150,2,cubic,
264,10000,20,150,3,bbr,
265,10000,20,150,3,cubic,
266,10000,20,150,4,bbr,
267,10000,20,150,4,cubic,
268,10000,20,150,5,bbr,
269,10000,20,150,5,cubic,
270,10000,20,200,1,bbr,1206.0
271,10000,20,200,1,cubic,
272,10000,20,200,2,bbr,3541.0
273,10000,20,200,2,cubic,108.0
274,10000,20,200,3,bbr,899.0
275,10000,20,200,3,cubic,
276,10000,20,200,4,bbr,924.0
277,10000,20,200,4,cubic,
278,10000,20,200,5,bbr,1387.0
279,10000,20,200,5,cubic,
280,10000,20,25,1,bbr,
281,10000,20,25,1,cubic,
282,10000,20,25,2,bbr,
283,10000,20,25,2,cubic,
284,10000,20,25,3,bbr,
285,10000,20,25,3,cubic,
286,10000,20,25,4,bbr,
287,10000,20,25,4,cubic,
288,10000,20,25,5,bbr,390.0
289,10000,20,25,5,cubic,
290,10000,20,50,1,bbr,
291,10000,20,50,1,cubic,
292,10000,20,50,2,bbr,
293,10000,20,50,2,cubic,
294,10000,20,50,3,bbr,
295,10000,20,50,3,cubic,
296,10000,20,50,4,bbr,
297,10000,20,50,4,cubic,
298,10000,20,50,5,bbr,
299,10000,20,50,5,cubic,
300,10000,20,5,1,bbr,204.0
301,10000,20,5,1,cubic,
302,10000,20,5,2,bbr,160.0
303,10000,20,5,2,cubic,109.0
304,10000,20,5,3,bbr,
305,10000,20,5,3,cubic,276.0
306,10000,20,5,4,bbr,114.0
307,10000,20,5,4,cubic,
308,10000,20,5,5,bbr,1507.0
309,10000,20,5,5,cubic,
310,10000,20,75,1,bbr,
311,10000,20,75,1,cubic,
312,10000,20,75,2,bbr,
