,bufcap,bandwidth,rtt,cc,retx_
180,10000,20,5,bbr,0.0
181,10000,20,5,cubic,3129.0
182,10000,20,5,bbr,0.0
183,10000,20,5,cubic,3204.0
184,10000,20,5,bbr,0.0
185,10000,20,5,cubic,3003.0
186,10000,20,75,bbr,0.0
187,10000,20,75,cubic,3683.0
188,10000,20,75,bbr,0.0
189,10000,20,75,cubic,3704.0
190,10000,20,75,bbr,0.0
191,10000,20,75,cubic,5286.0
192,10000,250,100,bbr,0.0
193,10000,250,100,cubic,610.0
194,10000,250,100,bbr,0.0
195,10000,250,100,cubic,609.0
196,10000,250,100,bbr,0.0
197,10000,250,100,cubic,611.0
198,10000,250,10,bbr,0.0
199,10000,250,10,cubic,475.0
200,10000,250,10,bbr,0.0
201,10000,250,10,cubic,476.0
202,10000,250,10,bbr,0.0
203,10000,250,10,cubic,476.0
204,10000,250,150,bbr,2019.0
205,10000,250,150,cubic,1408.0
206,10000,250,150,bbr,2079.0
207,10000,250,150,cubic,693.0
208,10000,250,150,bbr,1995.0
209,10000,250,150,cubic,1786.0
210,10000,250,200,bbr,5712.0
211,10000,250,200,cubic,778.0
212,10000,250,200,bbr,5699.0
213,10000,250,200,cubic,782.0
214,10000,250,200,bbr,5686.0
215,10000,250,200,cubic,781.0
216,10000,250,25,bbr,0.0
217,10000,250,25,cubic,499.0
218,10000,250,25,bbr,0.0
219,10000,250,25,cubic,500.0
220,10000,250,25,bbr,0.0
221,10000,250,25,cubic,500.0
222,10000,250,50,bbr,0.0
223,10000,250,50,cubic,532.0
224,10000,250,50,bbr,0.0
225,10000,250,50,cubic,545.0
226,10000,250,50,bbr,0.0
227,10000,250,50,cubic,543.0
228,10000,250,5,bbr,0.0
229,10000,250,5,cubic,464.0
230,10000,250,5,bbr,0.0
231,10000,250,5,cubic,468.0
232,10000,250,5,bbr,0.0
233,10000,250,5,cubic,468.0
234,10000,250,75,bbr,0.0
235,10000,250,75,cubic,589.0
236,10000,250,75,bbr,0.0
237,10000,250,75,cubic,588.0
238,10000,250,75,bbr,0.0
239,10000,250,75,cubic,586.0
240,10000,500,100,bbr,5646.0
241,10000,500,100,cubic,678.0
242,10000,500,100,bbr,5666.0
243,10000,500,100,cubic,687.0
244,10000,500,100,bbr,5548.0
245,10000,500,100,cubic,1747.0
246,10000,500,10,bbr,0.0
247,10000,500,10,cubic,441.0
248,10000,500,10,bbr,0.0
249,10000,500,10,cubic,443.0
250,10000,500,10,bbr,0.0
251,10000,500,10,cubic,416.0
252,10000,500,150,bbr,19896.0
253,10000,500,150,cubic,809.0
254,10000,500,150,bbr,19725.0
255,10000,500,150,cubic,807.0
256,10000,500,150,bbr,20514.0
257,10000,500,150,cubic,809.0
258,10000,500,200,bbr,33270.0
259,10000,500,200,cubic,955.0
260,10000,500,200,bbr,32620.0
261,10000,500,200,cubic,959.0
262,10000,500,200,bbr,32939.0
263,10000,500,200,cubic,954.0
264,10000,500,25,bbr,0.0
265,10000,500,25,cubic,466.0
266,10000,500,25,bbr,0.0
267,10000,500,25,cubic,461.0
268,10000,500,25,bbr,0.0
269,10000,500,25,cubic,463.0
270,10000,500,50,bbr,0.0
271,10000,500,50,cubic,528.0
272,10000,500,50,bbr,0.0
273,10000,500,50,cubic,594.0
274,10000,500,50,bbr,0.0
275,10000,500,50,cubic,545.0
276,10000,500,5,bbr,0.0
277,10000,500,5,cubic,423.0
278,10000,500,5,bbr,0.0
279,10000,500,5,cubic,417.0
280,10000,500,5,bbr,0.0
281,10000,500,5,cubic,423.0
282,10000,500,75,bbr,2010.0
283,10000,500,75,cubic,604.0
284,10000,500,75,bbr,2082.0
285,10000,500,75,cubic,606.0
286,10000,500,75,bbr,2037.0
287,10000,500,75,cubic,611.0
288,10000,50,100,bbr,0.0
289,10000,50,100,cubic,1252.0
290,10000,50,100,bbr,0.0
291,10000,50,100,cubic,1250.0
292,10000,50,100,bbr,0.0
293,10000,50,100,cubic,1255.0
294,10000,50,10,bbr,0.0
295,10000,50,10,cubic,1407.0
296,10000,50,10,bbr,0.0
297,10000,50,10,cubic,1408.0
298,10000,50,10,bbr,0.0
299,10000,50,10,cubic,1407.0
300,10000,50,150,bbr,0.0
301,10000,50,150,cubic,1242.0
302,10000,50,150,bbr,0.0
303,10000,50,150,cubic,1244.0
304,10000,50,150,bbr,0.0
305,10000,50,150,cubic,1245.0
306,10000,50,200,bbr,0.0
307,10000,50,200,cubic,1332.0
308,10000,50,200,bbr,0.0
309,10000,50,200,cubic,1329.0
310,10000,50,200,bbr,0.0
311,10000,50,200,cubic,1332.0
312,10000,50,25,bbr,0.0
313,10000,50,25,cubic,1394.0
314,10000,50,25,bbr,0.0
315,10000,50,25,cubic,1393.0
316,10000,50,25,bbr,0.0
317,10000,50,25,cubic,1393.0
318,10000,50,50,bbr,0.0
319,10000,50,50,cubic,1313.0
320,10000,50,50,bbr,0.0
321,10000,50,50,cubic,1316.0
322,10000,50,50,bbr,0.0
323,10000,50,50,cubic,1315.0
324,10000,50,5,bbr,0.0
325,10000,50,5,cubic,1420.0
326,10000,50,5,bbr,0.0
327,10000,50,5,cubic,1419.0
328,10000,50,5,bbr,0.0
329,10000,50,5,cubic,1418.0
330,10000,50,75,bbr,0.0
331,10000,50,75,cubic,1261.0
332,10000,50,75,bbr,0.0
333,10000,50,75,cubic,1262.0
334,10000,50,75,bbr,0.0
335,10000,50,75,cubic,1261.0
336,10000,750,100,bbr,19511.0
337,10000,750,100,cubic,738.0
338,10000,750,100,bbr,19429.0
339,10000,750,100,cubic,783.0
340,10000,750,100,bbr,19401.0
341,10000,750,100,cubic,760.0
342,10000,750,10,bbr,0.0
343,10000,750,10,cubic,424.0
344,10000,750,10,bbr,0.0
345,10000,750,10,cubic,428.0
346,10000,750,10,bbr,0.0
347,10000,750,10,cubic,420.0
348,10000,750,150,bbr,45687.0
349,10000,750,150,cubic,960.0
350,10000,750,150,bbr,44402.0
351,10000,750,150,cubic,952.0
352,10000,750,150,bbr,44139.0
