,bufcap,bandwidth,rtt,trial,cc,goodput_
156,10000,20,150,1,bbr,18801.0
157,10000,20,150,1,cubic,18992.0
158,10000,20,150,2,bbr,18800.0
159,10000,20,150,2,cubic,18992.0
160,10000,20,150,3,bbr,18801.0
161,10000,20,150,3,cubic,18261.0
162,10000,20,200,1,bbr,18805.0
163,10000,20,200,1,cubic,18789.0
164,10000,20,200,2,bbr,18629.0
165,10000,20,200,2,cubic,18888.0
166,10000,20,200,3,bbr,18642.0
167,10000,20,200,3,cubic,18888.0
168,10000,20,25,1,bbr,19238.0
169,10000,20,25,1,cubic,18733.0
170,10000,20,25,2,bbr,19238.0
171,10000,20,25,2,cubic,19231.0
172,10000,20,25,3,bbr,19238.0
173,10000,20,25,3,cubic,18847.0
174,10000,20,50,1,bbr,19192.0
175,10000,20,50,1,cubic,19191.0
176,10000,20,50,2,bbr,19192.0
177,10000,20,50,2,cubic,19191.0
178,10000,20,50,3,bbr,19193.0
179,10000,20,50,3,cubic,19191.0
180,10000,20,5,1,bbr,19249.0
181,10000,20,5,1,cubic,19242.0
182,10000,20,5,2,bbr,19249.0
183,10000,20,5,2,cubic,19243.0
184,10000,20,5,3,bbr,19249.0
185,10000,20,5,3,cubic,19242.0
186,10000,20,75,1,bbr,19144.0
187,10000,20,75,1,cubic,18262.0
188,10000,20,75,2,bbr,19144.0
189,10000,20,75,2,cubic,19146.0
190,10000,20,75,3,bbr,19144.0
191,10000,20,75,3,cubic,19146.0
192,10000,250,100,1,bbr,229024.0
193,10000,250,100,1,cubic,235761.0
194,10000,250,100,2,bbr,228806.0
195,10000,250,100,2,cubic,235760.0
196,10000,250,100,3,bbr,228941.0
197,10000,250,100,3,cubic,235759.0
198,10000,250,10,1,bbr,236755.0
199,10000,250,10,1,cubic,238935.0
200,10000,250,10,2,bbr,235360.0
201,10000,250,10,2,cubic,238935.0
202,10000,250,10,3,bbr,236058.0
203,10000,250,10,3,cubic,238939.0
204,10000,250,150,1,bbr,225212.0
205,10000,250,150,1,cubic,233672.0
206,10000,250,150,2,bbr,225230.0
207,10000,250,150,2,cubic,233680.0
208,10000,250,150,3,bbr,225255.0
209,10000,250,150,3,cubic,233670.0
210,10000,250,200,1,bbr,222693.0
211,10000,250,200,1,cubic,231497.0
212,10000,250,200,2,bbr,220603.0
213,10000,250,200,2,cubic,231510.0
214,10000,250,200,3,bbr,221884.0
215,10000,250,200,3,cubic,231510.0
216,10000,250,25,1,bbr,234665.0
217,10000,250,25,1,cubic,238595.0
218,10000,250,25,2,bbr,234469.0
219,10000,250,25,2,cubic,238595.0
220,10000,250,25,3,bbr,234664.0
221,10000,250,25,3,cubic,238595.0
222,10000,250,50,1,bbr,233397.0
223,10000,250,50,1,cubic,237679.0
224,10000,250,50,2,bbr,235513.0
225,10000,250,50,2,cubic,237688.0
226,10000,250,50,3,bbr,234465.0
227,10000,250,50,3,cubic,237688.0
228,10000,250,5,1,bbr,236341.0
229,10000,250,5,1,cubic,239017.0
230,10000,250,5,2,bbr,236330.0
231,10000,250,5,2,cubic,239018.0
232,10000,250,5,3,bbr,235655.0
233,10000,250,5,3,cubic,239017.0
234,10000,250,75,1,bbr,233490.0
235,10000,250,75,1,cubic,236744.0
236,10000,250,75,2,bbr,232413.0
237,10000,250,75,2,cubic,236744.0
238,10000,250,75,3,bbr,233480.0
239,10000,250,75,3,cubic,236744.0
240,10000,500,100,1,bbr,456371.0
241,10000,500,100,1,cubic,470577.0
242,10000,500,100,2,bbr,455587.0
243,10000,500,100,2,cubic,470564.0
244,10000,500,100,3,bbr,456031.0
245,10000,500,100,3,cubic,470568.0
246,10000,500,10,1,bbr,469564.0
247,10000,500,10,1,cubic,477633.0
248,10000,500,10,2,bbr,469888.0
249,10000,500,10,2,cubic,477630.0
250,10000,500,10,3,bbr,469578.0
251,10000,500,10,3,cubic,477631.0
252,10000,500,150,1,bbr,448485.0
253,10000,500,150,1,cubic,466009.0
254,10000,500,150,2,bbr,448487.0
255,10000,500,150,2,cubic,466003.0
256,10000,500,150,3,bbr,448421.0
257,10000,500,150,3,cubic,466006.0
258,10000,500,200,1,bbr,437591.0
259,10000,500,200,1,cubic,461259.0
260,10000,500,200,2,bbr,437675.0
261,10000,500,200,2,cubic,461247.0
262,10000,500,200,3,bbr,438963.0
263,10000,500,200,3,cubic,459909.0
264,10000,500,25,1,bbr,467705.0
265,10000,500,25,1,cubic,476856.0
266,10000,500,25,2,bbr,467699.0
267,10000,500,25,2,cubic,476861.0
268,10000,500,25,3,bbr,469759.0
269,10000,500,25,3,cubic,476867.0
270,10000,500,50,1,bbr,463861.0
271,10000,500,50,1,cubic,474838.0
272,10000,500,50,2,bbr,464203.0
273,10000,500,50,2,cubic,474523.0
274,10000,500,50,3,bbr,463922.0
275,10000,500,50,3,cubic,474838.0
276,10000,500,5,1,bbr,471812.0
277,10000,500,5,1,cubic,477865.0
278,10000,500,5,2,bbr,471829.0
279,10000,500,5,2,cubic,477876.0
280,10000,500,5,3,bbr,470338.0
281,10000,500,5,3,cubic,477867.0
282,10000,500,75,1,bbr,461337.0
283,10000,500,75,1,cubic,472741.0
284,10000,500,75,2,bbr,461322.0
285,10000,500,75,2,cubic,472702.0
286,10000,500,75,3,bbr,461333.0
287,10000,500,75,3,cubic,472735.0
288,10000,50,100,1,bbr,46764.0
289,10000,50,100,1,cubic,47447.0
290,10000,50,100,2,bbr,46624.0
291,10000,50,100,2,cubic,47447.0
292,10000,50,100,3,bbr,46626.0
293,10000,50,100,3,cubic,47447.0
294,10000,50,10,1,bbr,47795.0
295,10000,50,10,1,cubic,47909.0
296,10000,50,10,2,bbr,47808.0
297,10000,50,10,2,cubic,47906.0
298,10000,50,10,3,bbr,47786.0
299,10000,50,10,3,cubic,47904.0
300,10000,50,150,1,bbr,45974.0
301,10000,50,150,1,cubic,47136.0
302,10000,50,150,2,bbr,45976.0
303,10000,50,150,2,cubic,47136.0
304,10000,50,150,3,bbr,45965.0
305,10000,50,150,3,cubic,47136.0
306,10000,50,200,1,bbr,45316.0
307,10000,50,200,1,cubic,46791.0
308,10000,50,200,2,bbr,45526.0
309,10000,50,200,2,cubic,46791.0
310,10000,50,200,3,bbr,45528.0
311,10000,50,200,3,cubic,46791.0
312,10000,50,25,1,bbr,47626.0
313,10000,50,25,1,cubic,47866.0
314,10000,50,25,2,bbr,47608.0
315,10000,50,25,2,cubic,47867.0
316,10000,50,25,3,bbr,47623.0
317,10000,50,25,3,cubic,47869.0
318,10000,50,50,1,bbr,47528.0
319,10000,50,50,1,cubic,47736.0
320,10000,50,50,2,bbr,47562.0
321,10000,50,50,2,cubic,47736.0
322,10000,50,50,3,bbr,47430.0
323,10000,50,50,3,cubic,47736.0
324,10000,50,5,1,bbr,47909.0
325,10000,50,5,1,cubic,47918.0
326,10000,50,5,2,bbr,47915.0
327,10000,50,5,2,cubic,47918.0
328,10000,50,5,3,bbr,47911.0
329,10000,50,5,3,cubic,47916.0
330,10000,50,75,1,bbr,46928.0
331,10000,50,75,1,cubic,47600.0
332,10000,50,75,2,bbr,47032.0
333,10000,50,75,2,cubic,47600.0
334,10000,50,75,3,bbr,47374.0
335,10000,50,75,3,cubic,47600.0
336,10000,750,100,1,bbr,683408.0
337,10000,750,100,1,cubic,705093.0
338,10000,750,100,2,bbr,682287.0
339,10000,750,100,2,cubic,705093.0
340,10000,750,100,3,bbr,682158.0
341,10000,750,100,3,cubic,705091.0
342,10000,750,10,1,bbr,704212.0
343,10000,750,10,1,cubic,716332.0
344,10000,750,10,2,bbr,704247.0
345,10000,750,10,2,cubic,716345.0
346,10000,750,10,3,bbr,704340.0
347,10000,750,10,3,cubic,716335.0
348,10000,750,150,1,bbr,670097.0
349,10000,750,150,1,cubic,697949.0
350,10000,750,150,2,bbr,671287.0
351,10000,750,150,2,cubic,697953.0
352,10000,750,150,3,bbr,671210.0
353,10000,750,150,3,cubic,697949.0
354,10000,750,200,1,bbr,661125.0
355,10000,750,200,1,cubic,690435.0
356,10000,750,200,2,bbr,661001.0
357,10000,750,200,2,cubic,690390.0
358,10000,750,200,3,bbr,656894.0
359,10000,750,200,3,cubic,690423.0
360,10000,750,25,1,bbr,700677.0
361,10000,750,25,1,cubic,715067.0
362,10000,750,25,2,bbr,700976.0
363,10000,750,25,2,cubic,715066.0
364,10000,750,25,3,bbr,700692.0
365,10000,750,25,3,cubic,715048.0
366,10000,750,50,1,bbr,695198.0
367,10000,750,50,1,cubic,711851.0
368,10000,750,50,2,bbr,697862.0
369,10000,750,50,2,cubic,711844.0
370,10000,750,50,3,bbr,697882.0
371,10000,750,50,3,cubic,711846.0
372,10000,750,5,1,bbr,705046.0
373,10000,750,5,1,cubic,716731.0
374,10000,750,5,2,bbr,704954.0
375,10000,750,5,2,cubic,716726.0
376,10000,750,5,3,bbr,704969.0
377,10000,750,5,3,cubic,716724.0
378,10000,750,75,1,bbr,691073.0
379,10000,750,75,1,cubic,708574.0
380,10000,750,75,2,bbr,691030.0
381,10000,750,75,2,cubic,708577.0
382,10000,750,75,3,bbr,691067.0
383,10000,750,75,3,cubic,708575.0
