1722884206.371536,10.10.1.10:55082,,,10,37,25.526
1722884206.391816,10.10.1.10:55082,,,10,41,23.62
1722884206.409219,10.10.1.10:55082,,,10,41,23.62
1722884206.429022,10.10.1.10:55082,,,10,41,23.62
1722884206.502757,10.10.1.10:55084,,,20,43477,10.301
1722884206.521320,10.10.1.10:55084,,,39,98501,10.287
1722884206.539591,10.10.1.10:55084,,,116,273093,10.4
1722884206.559890,10.10.1.10:55084,,,386,1110653,10.548
1722884206.577676,10.10.1.10:55084,,,1161,3326093,12.395
1722884206.595164,10.10.1.10:55084,37,37,859,859,17.37
1722884206.613034,10.10.1.10:55084,127,127,254,859,19.87
1722884206.630750,10.10.1.10:55084,213,431,213,859,14.882
1722884206.650954,10.10.1.10:55084,228,659,228,859,15.999
1722884206.668405,10.10.1.10:55084,206,690,206,231,28.987
1722884206.688917,10.10.1.10:55084,206,865,206,231,25.91
1722884206.709929,10.10.1.10:55084,155,1020,206,231,25.58
1722884206.727640,10.10.1.10:55084,0,1020,232,231,25.565
1722884206.753884,10.10.1.10:55084,0,1020,232,231,25.635
1722884206.772832,10.10.1.10:55084,0,1020,241,231,26.613
1722884206.790924,10.10.1.10:55084,0,1020,245,231,28.696
1722884206.808594,10.10.1.10:55084,0,1020,250,231,28.863
1722884206.826218,10.10.1.10:55084,0,1020,255,231,28.767
1722884206.843567,10.10.1.10:55084,0,1020,260,231,28.767
1722884206.861279,10.10.1.10:55084,0,1020,260,231,29.904
1722884206.878616,10.10.1.10:55084,0,1020,266,231,30.922
1722884206.896648,10.10.1.10:55084,0,1020,273,231,30.922
1722884206.914577,10.10.1.10:55084,0,1020,273,231,30.986
1722884206.931881,10.10.1.10:55084,0,1020,280,231,30.986
1722884206.949892,10.10.1.10:55084,0,1020,280,231,31.363
1722884206.967199,10.10.1.10:55084,0,1020,287,231,31.363
1722884206.985391,10.10.1.10:55084,0,1020,287,231,33.314
1722884207.002702,10.10.1.10:55084,0,1020,294,231,33.314
1722884207.020686,10.10.1.10:55084,0,1020,294,231,34.173
1722884207.037945,10.10.1.10:55084,0,1020,301,231,34.173
1722884207.055837,10.10.1.10:55084,0,1020,301,231,34.517
1722884207.073410,10.10.1.10:55084,0,1020,308,231,34.517
1722884207.091489,10.10.1.10:55084,0,1020,308,231,34.577
1722884207.108808,10.10.1.10:55084,0,1020,316,231,34.577
1722884207.126975,10.10.1.10:55084,0,1020,316,231,36.41
1722884207.144211,10.10.1.10:55084,0,1020,324,231,36.41
1722884207.162191,10.10.1.10:55084,0,1020,324,231,37.084
1722884207.179734,10.10.1.10:55084,0,1020,332,231,37.084
1722884207.197825,10.10.1.10:55084,0,1020,332,231,37.399
1722884207.215526,10.10.1.10:55084,0,1020,340,231,37.399
1722884207.232998,10.10.1.10:55084,0,1020,340,231,37.399
1722884207.250975,10.10.1.10:55084,0,1020,340,231,39.208
1722884207.271448,10.10.1.10:55084,0,1020,348,231,39.208
1722884207.289566,10.10.1.10:55084,0,1020,348,231,39.869
1722884207.309995,10.10.1.10:55084,0,1020,356,231,39.869
1722884207.327360,10.10.1.10:55084,0,1020,356,231,41.202
1722884207.347282,10.10.1.10:55084,0,1020,366,231,41.202
